Team,Date,Opponent,Inn,Batter,Event,Sit Before,Sit After,Best Sit,Worst Sit,Success?,1B,Fielder,Pos,Hand,F/B,Direction,Distance,Velo
LAD,4/20,Mets,8,Starling Marte,E6,000 1,100 1,000 2,100 1,No,Freddie Freeman,Mookie Betts,SS,RH,Back,S,Stretch,78.3
LAD,4/21,Mets,9,Zack Short,6-3,000 2,000 3,000 3,100 2,Yes,Enrique Hernandez,Miguel Rojas,SS,RH,Fore,S,Stretch,84.1
LAD,4/29,Diamondbacks,2,Gabriel Moreno,1B,000 1,100 1,100 1,100 1,Yes,Freddie Freeman,Mookie Betts,2B,RH,Back,S,Short,85.5
LAD,4/29,Diamondbacks,3,Ketel Marte,5-3,000 0,000 1,000 1,100 0,Yes,Freddie Freeman,Max Muncy,3B,RH,Back,S,Stretch,84.1
LAD,4/29,Diamondbacks,7,Christian Walker,6-4 FC,100 1,100 2,000 3,100 2,No,Freddie Freeman,Mookie Betts,2B,RH,Back,R,Short,85.5
LAD,5/4,Braves,7,Orlando Arcia,4-3,001 1,000 2 +1,000 2 +1,010 1 +1,Yes,Freddie Freeman,Gavin Lux,2B,RH,Back,S,Short,75
LAD,5/5,Braves,2,Marcell Ozuna,5-3,000 0,000 1,000 1,100 0,Yes,Freddie Freeman,Enrique Hernandez,3B,RH,Fore,S,Stretch,85.8
LAD,5/6,Marlins,6,Jesus Sanchez,6-3,100 0,010 1,010 1,011 0,Yes,Freddie Freeman,Mookie Betts,SS,RH,Back,S,Long,78.3
LAD,5/7,Marlins,7,Tim Anderson,5-3,000 1,000 2,000 2,100 1,Yes,Freddie Freeman,Max Muncy,3B,RH,Fore,L,Short,84.1
LAD,5/13,Giants,10,Thairo Estrada,5-4-3 DP,110 1,000 3,000 3,010 2 +1,Yes,Freddie Freeman,Gavin Lux,2B,RH,Back,S,Short,75
LAD,5/14,Giants,1,Matt Chapman,5-3,010 1,001 2,001 2,010 1 +1,Yes,Freddie Freeman,Max Muncy,3B,RH,Fore,L,Stretch,84.1
LAD,5/16,Reds,4,Jeimer Candelario,4-3,000 0,000 1,000 1,100 0,Yes,Freddie Freeman,Gavin Lux,2B,RH,Back,R,Stretch,75
LAD,5/18,Reds,9,Elly De La Cruz,4-3,000 1,000 2,000 2,100 1,Yes,Freddie Freeman,Gavin Lux,2B,RH,Back,R,Long,75
